source	target	edge
Container-Reaction_Flask_50_mL	current hardware	has_property
Container-Reaction_Flask_50_mL-current hardware	flaskstation	has_value
Container-Reaction_Flask_50_mL	deck position	has_property
Container-Reaction_Flask_50_mL-deck position	0	has_value
Container-Reaction_Flask_50_mL	slot number	has_property
Container-Reaction_Flask_50_mL-slot number	1	has_value
Container-Reaction_Flask_50_mL	name	has_property
Container-Reaction_Flask_50_mL-name	Reaction_Flask_50_mL	has_value
Container-Reaction_Flask_50_mL	current volume	has_property
Container-Reaction_Flask_50_mL-current volume	None	has_value
Container-Reaction_Flask_50_mL	max volume	has_property
Container-Reaction_Flask_50_mL-max volume	None	has_value
Container-Reaction_Flask_50_mL	container type	has_property
Container-Reaction_Flask_50_mL-container type	FLASK_50_ML	has_value
Container-Reaction_Flask_50_mL	has stirbar	has_property
Container-Reaction_Flask_50_mL-has stirbar	True	has_value
Container-Reaction_Flask_50_mL	is capped	has_property
Container-Reaction_Flask_50_mL-is capped	False	has_value
Add Chemical-496	container	has_property
Add Chemical-496-container	Reaction_Flask_50_mL	has_value
Add Chemical-496	chemical	has_property
Add Chemical-496-chemical	ZrOCl28 H2O	has_value
Add Chemical-496	withdraw rate	has_property
Add Chemical-496-withdraw rate	None	has_value
Add Chemical-496	addition rate	has_property
Add Chemical-496-addition rate	None	has_value
Add Chemical-496	robot arm	has_property
Add Chemical-496-robot arm	None	has_value
Add Chemical-496	capper decapper	has_property
Add Chemical-496-capper decapper	None	has_value
Add Chemical-496	return container after addition	has_property
Add Chemical-496-return container after addition	False	has_value
Add Chemical-496	return chemicals after addition	has_property
Add Chemical-496-return chemicals after addition	True	has_value
Add Chemical-496	bottom clearance	has_property
Add Chemical-496-bottom clearance	None	has_value
Add Chemical-496	purging volume	has_property
Add Chemical-496-purging volume	30mL	has_value
Add Chemical-496	purging addition rate	has_property
Add Chemical-496-purging addition rate	None	has_value
Add Chemical-496	purging port	has_property
Add Chemical-496-purging port	None	has_value
Add Chemical-496	priming volume	has_property
Add Chemical-496-priming volume	None	has_value
Add Chemical-496	priming waste container	has_property
Add Chemical-496-priming waste container	None	has_value
Chemical-ZrOCl28 H2O-558	container	has_property
Chemical-ZrOCl28 H2O-558-container	ZrOCl2_Container	has_value
Chemical-ZrOCl28 H2O-558	lookup missing values	has_property
Chemical-ZrOCl28 H2O-558-lookup missing values	True	has_value
Chemical-ZrOCl28 H2O-558	name	has_property
Chemical-ZrOCl28 H2O-558-name	ZrOCl28 H2O	has_value
Chemical-ZrOCl28 H2O-558	lot number	has_property
Chemical-ZrOCl28 H2O-558-lot number		has_value
Chemical-ZrOCl28 H2O-558	supplier	has_property
Chemical-ZrOCl28 H2O-558-supplier		has_value
Chemical-ZrOCl28 H2O-558	cas	has_property
Chemical-ZrOCl28 H2O-558-cas		has_value
Chemical-ZrOCl28 H2O-558	smiles	has_property
Chemical-ZrOCl28 H2O-558-smiles		has_value
Chemical-ZrOCl28 H2O-558	density	has_property
Chemical-ZrOCl28 H2O-558-density	None	has_value
Chemical-ZrOCl28 H2O-558	molar mass	has_property
Chemical-ZrOCl28 H2O-558-molar mass	None	has_value
Chemical-ZrOCl28 H2O-558	mass	has_property
Chemical-ZrOCl28 H2O-558-mass	0.028 g	has_value
Chemical-ZrOCl28 H2O-558	molar amount	has_property
Chemical-ZrOCl28 H2O-558-molar amount	0.086 mmol	has_value
Chemical-ZrOCl28 H2O-558	concentration	has_property
Chemical-ZrOCl28 H2O-558-concentration	None	has_value
Chemical-ZrOCl28 H2O-558	mass concentration	has_property
Chemical-ZrOCl28 H2O-558-mass concentration	10 mg/mL	has_value
Chemical-ZrOCl28 H2O-558	volume	has_property
Chemical-ZrOCl28 H2O-558-volume	None	has_value
Chemical-ZrOCl28 H2O-558	is stock solution	has_property
Chemical-ZrOCl28 H2O-558-is stock solution	False	has_value
Add Chemical-624	container	has_property
Add Chemical-624-container	Reaction_Flask_50_mL	has_value
Add Chemical-624	chemical	has_property
Add Chemical-624-chemical	DMF	has_value
Add Chemical-624	withdraw rate	has_property
Add Chemical-624-withdraw rate	None	has_value
Add Chemical-624	addition rate	has_property
Add Chemical-624-addition rate	None	has_value
Add Chemical-624	robot arm	has_property
Add Chemical-624-robot arm	None	has_value
Add Chemical-624	capper decapper	has_property
Add Chemical-624-capper decapper	None	has_value
Add Chemical-624	return container after addition	has_property
Add Chemical-624-return container after addition	False	has_value
Add Chemical-624	return chemicals after addition	has_property
Add Chemical-624-return chemicals after addition	True	has_value
Add Chemical-624	bottom clearance	has_property
Add Chemical-624-bottom clearance	None	has_value
Add Chemical-624	purging volume	has_property
Add Chemical-624-purging volume	30mL	has_value
Add Chemical-624	purging addition rate	has_property
Add Chemical-624-purging addition rate	None	has_value
Add Chemical-624	purging port	has_property
Add Chemical-624-purging port	None	has_value
Add Chemical-624	priming volume	has_property
Add Chemical-624-priming volume	None	has_value
Add Chemical-624	priming waste container	has_property
Add Chemical-624-priming waste container	None	has_value
Chemical-DMF-686	container	has_property
Chemical-DMF-686-container	DMF_Container_Falcon_Tube	has_value
Chemical-DMF-686	lookup missing values	has_property
Chemical-DMF-686-lookup missing values	True	has_value
Chemical-DMF-686	name	has_property
Chemical-DMF-686-name	DMF	has_value
Chemical-DMF-686	lot number	has_property
Chemical-DMF-686-lot number		has_value
Chemical-DMF-686	supplier	has_property
